Class,CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat
poisonous,convex,smooth,brown,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,urban
edible,convex,smooth,yellow,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,bell,smooth,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,urban
edible,convex,smooth,gray,FALSE,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,bell,smooth,white,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,bell,scaly,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,grasses
edible,bell,smooth,yellow,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,bell,smooth,yellow,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,convex,fibrous,brown,FALSE,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,o,evanescent,black,abundant,grasses
edible,sunken,fibrous,gray,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
edible,flat,fibrous,white,FALSE,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,brown,abundant,grasses
poisonous,convex,smooth,brown,TRUE,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,urban
poisonous,convex,smooth,brown,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,urban
edible,bell,smooth,yellow,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
poisonous,convex,scaly,brown,TRUE,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,grasses
edible,bell,scaly,yellow,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,bell,scaly,white,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,bell,smooth,white,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
poisonous,flat,smooth,white,TRUE,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,grasses
